id,word,meaning,author,made,why
skpw-mhCk,sat,sight,you,2026-09-15,in base.csv when the variant system was built
cgzq-hqqz,sas,parent,you,2026-09-15,in base.csv when the variant system was built
zrgh-ywtk,saz,emphasize,you,2026-09-15,in base.csv when the variant system was built
jwdx-tzxs,sav,silver,you,2026-09-15,in base.csv when the variant system was built
vxwg-dxdd,sax,wash,you,2026-09-15,in base.csv when the variant system was built
bbtf-pvmt,saj,etc,you,2026-09-15,in base.csv when the variant system was built
ytkn-Cdkz,sar,surf,you,2026-09-15,in base.csv when the variant system was built
skrk-lcgw,sal,like (similar),you,2026-09-15,in base.csv when the variant system was built
sbbh-cczf,som,drug,you,2026-09-15,in base.csv when the variant system was built
rjqz-ymgm,sog,reason,you,2026-09-15,in base.csv when the variant system was built
wxjC-zrkC,sod,mystery,you,2026-09-15,in base.csv when the variant system was built
ysxn-lnCz,sop,so/transition,you,2026-09-15,in base.csv when the variant system was built
dsrv-ggzs,sok,around/surround,you,2026-09-15,in base.csv when the variant system was built
jkvq-qrkl,soz,also,you,2026-09-15,in base.csv when the variant system was built
rkgv-qgwl,sof,each,you,2026-09-15,in base.csv when the variant system was built
bvjv-qzhx,sor,file (computer),you,2026-09-15,in base.csv when the variant system was built
dvnt-jhzb,sol,soul,you,2026-09-15,in base.csv when the variant system was built
ryxn-dydx,sub,I,you,2026-09-15,in base.csv when the variant system was built
bdgy-rwpz,sup,above (super)/hover,you,2026-09-15,in base.csv when the variant system was built
pkmm-kllj,sut,store,you,2026-09-15,in base.csv when the variant system was built
zkkt-sxwn,suk,top,you,2026-09-15,in base.csv when the variant system was built
ncjs-wfgk,suv,observe,you,2026-09-15,in base.csv when the variant system was built
vqlr-kpxk,suf,self (auto-),you,2026-09-15,in base.csv when the variant system was built
skqt-wqwq,suC,three,you,2026-09-15,in base.csv when the variant system was built
nmgs-pnqd,sur,assert,you,2026-09-15,in base.csv when the variant system was built
bhdh-bkgk,sul,still (time),you,2026-09-15,in base.csv when the variant system was built
qddm-scpf,zim,pleasure,you,2026-09-15,in base.csv when the variant system was built
qnbt-qxrs,zin,decision,you,2026-09-15,in base.csv when the variant system was built
zbhk-Cjxq,ziq,zing,you,2026-09-15,in base.csv when the variant system was built
msfg-vrqq,zig,gain,you,2026-09-15,in base.csv when the variant system was built
mcCC-mgvl,zip,graph,you,2026-09-15,in base.csv when the variant system was built
flyb-qlcf,zem,plasma (matter),you,2026-09-15,in base.csv when the variant system was built
yszv-zhcp,zet,olive (color),you,2026-09-15,in base.csv when the variant system was built
smxf-gznc,zan,one,you,2026-09-15,in base.csv when the variant system was built
dcxf-rqyk,zaq,presence,you,2026-09-15,in base.csv when the variant system was built
hCnv-rrwy,zab,public,you,2026-09-15,in base.csv when the variant system was built
zgqr-cslz,zap,zap,you,2026-09-15,in base.csv when the variant system was built
mzrb-lxzm,zak,effect,you,2026-09-15,in base.csv when the variant system was built
drfv-hzpf,zav,lie,you,2026-09-15,in base.csv when the variant system was built
gbky-bsdk,zaf,equal (iso-),you,2026-09-15,in base.csv when the variant system was built
bzrC-yqtf,zar,vowel,you,2026-09-15,in base.csv when the variant system was built
tvbr-Chmn,zom,so/great,you,2026-09-15,in base.csv when the variant system was built
vtnr-pnqv,zon,zone,you,2026-09-15,in base.csv when the variant system was built
jwdp-nrkh,zok,try,you,2026-09-15,in base.csv when the variant system was built
mkck-wzsf,zox,sense,you,2026-09-15,in base.csv when the variant system was built
pmcn-cCdb,zum,zoom,you,2026-09-15,in base.csv when the variant system was built
zlvn-cwxC,zub,absorb,you,2026-09-15,in base.csv when the variant system was built
pczs-pbyp,zut,identity,you,2026-09-15,in base.csv when the variant system was built
prmC-dCrq,zuk,where,you,2026-09-15,in base.csv when the variant system was built
blkn-ppcc,zus,experience,you,2026-09-15,in base.csv when the variant system was built
cprk-Cgsd,zuz,converse (talk),you,2026-09-15,in base.csv when the variant system was built
tdCp-zlsw,zur,fall,you,2026-09-15,in base.csv when the variant system was built
qnpc-hfvn,zul,animal,you,2026-09-15,in base.csv when the variant system was built
rzxv-stdy,vim,way/style,you,2026-09-15,in base.csv when the variant system was built
rhmg-rnzy,vin,fill (-full),you,2026-09-15,in base.csv when the variant system was built
jnyr-nzny,viq,everything,you,2026-09-15,in base.csv when the variant system was built
Ckvt-Cbmj,vig,start,you,2026-09-15,in base.csv when the variant system was built
vgvz-pbnz,vid,veer,you,2026-09-15,in base.csv when the variant system was built
cktf-fwvr,vip,six,you,2026-09-15,in base.csv when the variant system was built
mxzw-gClt,vit,information,you,2026-09-15,in base.csv when the variant system was built
cbnc-bfCf,vis,see,you,2026-09-15,in base.csv when the variant system was built
jlyk-wmfr,vix,preserve,you,2026-09-15,in base.csv when the variant system was built
pjrw-gzjm,vic,bit,you,2026-09-15,in base.csv when the variant system was built
ybkr-fsgn,ved,study or science of (-ology),you,2026-09-15,in base.csv when the variant system was built
pnCw-rgCC,veb,byte,you,2026-09-15,in base.csv when the variant system was built
lntx-smvt,vek,filter,you,2026-09-15,in base.csv when the variant system was built
bwCh-cwbj,ves,vessel,you,2026-09-15,in base.csv when the variant system was built
zpby-rxdy,vex,reveal,you,2026-09-15,in base.csv when the variant system was built
zyms-ylln,van,having the nature of (-ivity),you,2026-09-15,in base.csv when the variant system was built
cCff-qhkv,vab,vibe,you,2026-09-15,in base.csv when the variant system was built
wxry-sqdm,vat,body,you,2026-09-15,in base.csv when the variant system was built
Clhh-ffbk,vak,multiply,you,2026-09-15,in base.csv when the variant system was built
ldwd-qslp,vas,aspect,you,2026-09-15,in base.csv when the variant system was built
xxnv-jrtg,vav,repeat,you,2026-09-15,in base.csv when the variant system was built
fyqy-vgvb,vax,it,you,2026-09-15,in base.csv when the variant system was built
sdcw-jCdn,var,variable,you,2026-09-15,in base.csv when the variant system was built
xzlh-hCfd,val,value,you,2026-09-15,in base.csv when the variant system was built
ssyx-tlsf,von,sin,you,2026-09-15,in base.csv when the variant system was built
wttm-vrgb,vog,black,you,2026-09-15,in base.csv when the variant system was built
pCqw-pkCr,vod,void,you,2026-09-15,in base.csv when the variant system was built
dyCh-cplC,vot,vote,you,2026-09-15,in base.csv when the variant system was built
qpsx-ppxq,voz,voice,you,2026-09-15,in base.csv when the variant system was built
xfkd-tjtm,vov,axis,you,2026-09-15,in base.csv when the variant system was built
zgsh-jbvd,vun,on,you,2026-09-15,in base.csv when the variant system was built
ggtz-Cxgm,vuq,data,you,2026-09-15,in base.csv when the variant system was built
wtqx-vysp,vus,flex,you,2026-09-15,in base.csv when the variant system was built
pdwr-kyyj,vuc,catch,you,2026-09-15,in base.csv when the variant system was built
sygx-lqxn,vul,via,you,2026-09-15,in base.csv when the variant system was built
bptl-wblq,fim,female,you,2026-09-15,in base.csv when the variant system was built
llxs-fnjp,fid,next,you,2026-09-15,in base.csv when the variant system was built
Cqps-mbvn,fix,belief,you,2026-09-15,in base.csv when the variant system was built
btrn-gztz,fet,eight,you,2026-09-15,in base.csv when the variant system was built
cfrv-mlyh,fek,fake,you,2026-09-15,in base.csv when the variant system was built
pssy-vbzm,fes,face,you,2026-09-15,in base.csv when the variant system was built
bsft-wybf,fam,family,you,2026-09-15,in base.csv when the variant system was built
lhbk-tgCx,fan,find,you,2026-09-15,in base.csv when the variant system was built
ltxv-tcqj,faz,green,you,2026-09-15,in base.csv when the variant system was built
rtxh-gygv,fon,device,you,2026-09-15,in base.csv when the variant system was built
jhgn-mnpn,fot,right (direction),you,2026-09-15,in base.csv when the variant system was built
clsd-kjjl,fok,halt,you,2026-09-15,in base.csv when the variant system was built
mkvC-kprp,fos,else,you,2026-09-15,in base.csv when the variant system was built
rcfn-cbfC,for,fire,you,2026-09-15,in base.csv when the variant system was built
yvsc-dCxx,fun,within (endo-),you,2026-09-15,in base.csv when the variant system was built
ydsl-yhjf,fuq,function,you,2026-09-15,in base.csv when the variant system was built
CsCb-jxxh,fug,figure (it out),you,2026-09-15,in base.csv when the variant system was built
ypkh-kfbn,fup,borrow,you,2026-09-15,in base.csv when the variant system was built
nCsh-pxkx,fut,bad,you,2026-09-15,in base.csv when the variant system was built
qwyt-rscl,fus,discontinuous,you,2026-09-15,in base.csv when the variant system was built
czjf-xhhp,fuz,fusion,you,2026-09-15,in base.csv when the variant system was built
qdgm-bcgj,fuj,refuge,you,2026-09-15,in base.csv when the variant system was built
rfzd-mvjl,fur,fail,you,2026-09-15,in base.csv when the variant system was built
vwwk-jjmb,ful,fuel,you,2026-09-15,in base.csv when the variant system was built
Ckgb-krqn,xim,speech,you,2026-09-15,in base.csv when the variant system was built
xgCk-mcfp,xin,machine,you,2026-09-15,in base.csv when the variant system was built
bzdx-xbbd,xiq,will,you,2026-09-15,in base.csv when the variant system was built
hwmn-ynCb,xid,grey,you,2026-09-15,in base.csv when the variant system was built
jcnp-nhtt,xip,imagine,you,2026-09-15,in base.csv when the variant system was built
tvwk-wxyC,xit,provide,you,2026-09-15,in base.csv when the variant system was built
dCsw-Crrk,xiv,destroy,you,2026-09-15,in base.csv when the variant system was built
qmkx-xwqc,xic,eye,you,2026-09-15,in base.csv when the variant system was built
tzkd-wssw,xen,result,you,2026-09-15,in base.csv when the variant system was built
ghjw-vbcz,xed,should,you,2026-09-15,in base.csv when the variant system was built
yvdr-ghwy,xam,chime,you,2026-09-15,in base.csv when the variant system was built
nrvg-ynhl,xab,seven,you,2026-09-15,in base.csv when the variant system was built
btrC-pCcn,xat,or,you,2026-09-15,in base.csv when the variant system was built
Cnbp-vwxC,xax,eternal,you,2026-09-15,in base.csv when the variant system was built
Ccjc-tprd,xal,share,you,2026-09-15,in base.csv when the variant system was built
yCpn-czdj,xom,now,you,2026-09-15,in base.csv when the variant system was built
jsnv-vbtf,xok,copy,you,2026-09-15,in base.csv when the variant system was built
Crrr-fmsp,xol,show,you,2026-09-15,in base.csv when the variant system was built
stpy-bvwr,xum,sky,you,2026-09-15,in base.csv when the variant system was built
vkkc-xdrj,xun,change,you,2026-09-15,in base.csv when the variant system was built
scsw-jpzm,xud,quiet,you,2026-09-15,in base.csv when the variant system was built
pfjw-sqqt,xup,ship,you,2026-09-15,in base.csv when the variant system was built
nhjh-tnzs,xut,shout,you,2026-09-15,in base.csv when the variant system was built
vCqm-zffz,xuv,return,you,2026-09-15,in base.csv when the variant system was built
qjzz-wnmp,xul,subtract,you,2026-09-15,in base.csv when the variant system was built
fjyg-hkbr,jin,paradise,you,2026-09-15,in base.csv when the variant system was built
Ckmq-bgyy,jit,digit,you,2026-09-15,in base.csv when the variant system was built
dpvg-sskm,jet,throw,you,2026-09-15,in base.csv when the variant system was built
fcfv-pfwk,jan,spirit,you,2026-09-15,in base.csv when the variant system was built
mplw-vqtj,jaq,count,you,2026-09-15,in base.csv when the variant system was built
wCsj-ggqq,jak,wisdom,you,2026-09-15,in base.csv when the variant system was built
zcrC-pvmv,jas,just (close-focus),you,2026-09-15,in base.csv when the variant system was built
nbch-jzlm,jom,pattern,you,2026-09-15,in base.csv when the variant system was built
nxjd-tbpc,jul,universe,you,2026-09-15,in base.csv when the variant system was built
tdbc-jlgy,Ciz,kaledoscope,you,2026-09-15,in base.csv when the variant system was built
Cddj-mqbt,Cev,without,you,2026-09-15,in base.csv when the variant system was built
pnyt-rrqx,Can,than/compare,you,2026-09-15,in base.csv when the variant system was built
rghs-myrd,Cas,thus,you,2026-09-15,in base.csv when the variant system was built
grCc-qynp,Car,there (abstract reference),you,2026-09-15,in base.csv when the variant system was built
jwmn-llrt,Con,transition,you,2026-09-15,in base.csv when the variant system was built
bnbk-xjcC,Cog,though/regard,you,2026-09-15,in base.csv when the variant system was built
jllg-nhbn,Coz,except,you,2026-09-15,in base.csv when the variant system was built
hrwc-hnlf,ciq,thing (hatchling),you,2026-09-15,in base.csv when the variant system was built
bhqx-swdm,cit,get,you,2026-09-15,in base.csv when the variant system was built
tshg-nrjw,cam,then,you,2026-09-15,in base.csv when the variant system was built
zxtw-xyfn,cad,life,you,2026-09-15,in base.csv when the variant system was built
tCdt-jhbh,cat,mud,you,2026-09-15,in base.csv when the variant system was built
cblv-mCCj,cak,thank,you,2026-09-15,in base.csv when the variant system was built
Cgdd-xvwy,cok,spec,you,2026-09-15,in base.csv when the variant system was built
bznd-ymgl,cov,brown,you,2026-09-15,in base.csv when the variant system was built
kymC-ymng,cub,torture,you,2026-09-15,in base.csv when the variant system was built
lrbx-dbkc,cuk,eleven,you,2026-09-15,in base.csv when the variant system was built
mhzr-kcnc,cuv,field (ether),you,2026-09-15,in base.csv when the variant system was built
stCp-Csgb,cux,key,you,2026-09-15,in base.csv when the variant system was built
crhf-qsbh,yin,north,you,2026-09-15,in base.csv when the variant system was built
jswm-nyrn,yiq,impermanent,you,2026-09-15,in base.csv when the variant system was built
tpyt-hjpg,yit,night,you,2026-09-15,in base.csv when the variant system was built
tglb-tfmw,yix,something,you,2026-09-15,in base.csv when the variant system was built
kllc-xqqw,yem,yum (food),you,2026-09-15,in base.csv when the variant system was built
tzpl-xcpC,yev,sort,you,2026-09-15,in base.csv when the variant system was built
pCcp-ttls,yam,day,you,2026-09-15,in base.csv when the variant system was built
gpwb-jpcC,yan,vehicle,you,2026-09-15,in base.csv when the variant system was built
kszb-mqnr,yaq,permanent,you,2026-09-15,in base.csv when the variant system was built
ycxz-txCc,yad,away,you,2026-09-15,in base.csv when the variant system was built
Clcj-qjjj,yap,yep,you,2026-09-15,in base.csv when the variant system was built
qrgy-xjrk,yat,way,you,2026-09-15,in base.csv when the variant system was built
nCtg-vqCw,yaj,measure,you,2026-09-15,in base.csv when the variant system was built
mqnr-rdfd,yar,year,you,2026-09-15,in base.csv when the variant system was built
wblz-dzjh,yal,turquoise,you,2026-09-15,in base.csv when the variant system was built
vfrd-cpzc,yog,practice of focusing on x (-ism),you,2026-09-15,in base.csv when the variant system was built
qmtk-ypfd,yov,of,you,2026-09-15,in base.csv when the variant system was built
xcqw-bccn,yol,yell,you,2026-09-15,in base.csv when the variant system was built
ygcc-rCcr,yut,yet,you,2026-09-15,in base.csv when the variant system was built
hnph-gkss,yuk,black,you,2026-09-15,in base.csv when the variant system was built
rjxp-gCjz,yuz,use,you,2026-09-15,in base.csv when the variant system was built
kqjf-kcbv,yuv,view,you,2026-09-15,in base.csv when the variant system was built
dglt-CtjC,yuc,with (con-),you,2026-09-15,in base.csv when the variant system was built
ncfj-sbCf,yul,polynomial,you,2026-09-15,in base.csv when the variant system was built
tjtC-szkn,rin,run,you,2026-09-15,in base.csv when the variant system was built
qnpg-wrwz,rid,read,you,2026-09-15,in base.csv when the variant system was built
cbjl-ntlj,rib,ribbit,you,2026-09-15,in base.csv when the variant system was built
dtsp-rwpl,rip,rich,you,2026-09-15,in base.csv when the variant system was built
tspw-tbft,rit,soil,you,2026-09-15,in base.csv when the variant system was built
cbcf-Cctr,rik,up,you,2026-09-15,in base.csv when the variant system was built
bjnb-wgkt,ris,express,you,2026-09-15,in base.csv when the variant system was built
xdvr-fyjC,riz,rise,you,2026-09-15,in base.csv when the variant system was built
ytzz-tCbt,riv,to/arrive,you,2026-09-15,in base.csv when the variant system was built
nyqg-bvqk,rif,close (near),you,2026-09-15,in base.csv when the variant system was built
drhh-rkcc,riC,algorithm,you,2026-09-15,in base.csv when the variant system was built
tgst-xjtj,ric,straight,you,2026-09-15,in base.csv when the variant system was built
dqmc-vlCc,ren,rain,you,2026-09-15,in base.csv when the variant system was built
fpdl-ffyv,reg,edit,you,2026-09-15,in base.csv when the variant system was built
lqmy-ddhk,red,red,you,2026-09-15,in base.csv when the variant system was built
cfvy-plsp,ret,after,you,2026-09-15,in base.csv when the variant system was built
gxvd-qkdb,ref,success,you,2026-09-15,in base.csv when the variant system was built
Cwlf-xswh,rex,array,you,2026-09-15,in base.csv when the variant system was built
pgvb-ddsg,reC,progress,you,2026-09-15,in base.csv when the variant system was built
ncbn-nttl,ram,dark,you,2026-09-15,in base.csv when the variant system was built
jgls-jpll,ran,frog,you,2026-09-15,in base.csv when the variant system was built
dlgC-kCCy,raq,wrong,you,2026-09-15,in base.csv when the variant system was built
kwtg-kgqw,rab,ride,you,2026-09-15,in base.csv when the variant system was built
pCwn-wcgw,rap,wrap,you,2026-09-15,in base.csv when the variant system was built
zxln-hpxg,rat,write,you,2026-09-15,in base.csv when the variant system was built
mgkc-scfy,rak,rock,you,2026-09-15,in base.csv when the variant system was built
rkht-fqhq,ras,in,you,2026-09-15,in base.csv when the variant system was built
zbxj-xyrf,raz,resonate,you,2026-09-15,in base.csv when the variant system was built
mvmw-kbfz,rav,particle,you,2026-09-15,in base.csv when the variant system was built
yndt-zkxl,raf,reference,you,2026-09-15,in base.csv when the variant system was built
gmtb-ympx,raj,range,you,2026-09-15,in base.csv when the variant system was built
xsvc-jzdc,raC,rhythm,you,2026-09-15,in base.csv when the variant system was built
pdzv-mjxn,rar,rare,you,2026-09-15,in base.csv when the variant system was built
mnCp-thgf,ral,raw,you,2026-09-15,in base.csv when the variant system was built
lxwv-rlhj,ron,environment,you,2026-09-15,in base.csv when the variant system was built
ckxj-wtll,rog,east,you,2026-09-15,in base.csv when the variant system was built
ncCb-CCzx,rot,false,you,2026-09-15,in base.csv when the variant system was built
dvCs-mcvj,ros,force,you,2026-09-15,in base.csv when the variant system was built
nnsy-nrtn,roz,rose,you,2026-09-15,in base.csv when the variant system was built
Cdml-jjtg,rov,copper,you,2026-09-15,in base.csv when the variant system was built
rpkt-vrhj,rol,cycle,you,2026-09-15,in base.csv when the variant system was built
cczh-cscC,rum,realm,you,2026-09-15,in base.csv when the variant system was built
cdcj-ryrz,run,glyph,you,2026-09-15,in base.csv when the variant system was built
blgp-lnjw,rug,this,you,2026-09-15,in base.csv when the variant system was built
fCmc-wjlv,rud,update,you,2026-09-15,in base.csv when the variant system was built
fxCC-ybcy,rub,logarithm,you,2026-09-15,in base.csv when the variant system was built
wjfd-pfhj,rup,right (time),you,2026-09-15,in base.csv when the variant system was built
phCc-wnyr,ruk,location,you,2026-09-15,in base.csv when the variant system was built
xwfC-zdsy,ruz,consonant,you,2026-09-15,in base.csv when the variant system was built
Cwbp-tszg,ruv,local,you,2026-09-15,in base.csv when the variant system was built
Cpzp-hzsd,rul,rule (in system),you,2026-09-15,in base.csv when the variant system was built
kCzk-wlbm,lin,learn,you,2026-09-15,in base.csv when the variant system was built
fglv-fzzk,liq,simulate,you,2026-09-15,in base.csv when the variant system was built
wwpx-hbcg,lig,square root,you,2026-09-15,in base.csv when the variant system was built
ccll-jvkt,lid,lead,you,2026-09-15,in base.csv when the variant system was built
CfCr-ftsk,lip,chain,you,2026-09-15,in base.csv when the variant system was built
dzdp-wxgr,lit,light,you,2026-09-15,in base.csv when the variant system was built
yvrt-xvyv,lik,link,you,2026-09-15,in base.csv when the variant system was built
stcx-rlwb,lif,leaf,you,2026-09-15,in base.csv when the variant system was built
bsmf-rzhz,lij,orient,you,2026-09-15,in base.csv when the variant system was built
bffg-wpzc,lem,low,you,2026-09-15,in base.csv when the variant system was built
pjzm-wftr,lep,push,you,2026-09-15,in base.csv when the variant system was built
bpdj-pbzt,lek,collect,you,2026-09-15,in base.csv when the variant system was built
lqsd-mlbl,les,air,you,2026-09-15,in base.csv when the variant system was built
yjmf-fdxd,leC,point,you,2026-09-15,in base.csv when the variant system was built
bzqs-hczh,lam,real,you,2026-09-15,in base.csv when the variant system was built
lCdf-ymgC,lan,land,you,2026-09-15,in base.csv when the variant system was built
wvdx-bkhs,laq,object feature type,you,2026-09-15,in base.csv when the variant system was built
tbsf-xjgz,lag,organ (body),you,2026-09-15,in base.csv when the variant system was built
sdfj-xltc,lad,yellow,you,2026-09-15,in base.csv when the variant system was built
lbrr-xcfx,lat,grey,you,2026-09-15,in base.csv when the variant system was built
dnvc-ctlj,lak,like,you,2026-09-15,in base.csv when the variant system was built
pzmg-jtjl,laz,very much of (-some),you,2026-09-15,in base.csv when the variant system was built
wgcf-kttm,lav,love,you,2026-09-15,in base.csv when the variant system was built
qzsn-mxlt,laf,four,you,2026-09-15,in base.csv when the variant system was built
xtkx-cgmf,lax,add,you,2026-09-15,in base.csv when the variant system was built
lhjC-qlmc,lal,y-axis,you,2026-09-15,in base.csv when the variant system was built
hgrq-glnj,lom,plural (many),you,2026-09-15,in base.csv when the variant system was built
wbkj-rnfq,lon,loan,you,2026-09-15,in base.csv when the variant system was built
fsjC-jdls,log,permute,you,2026-09-15,in base.csv when the variant system was built
dvgb-vhgs,lod,load,you,2026-09-15,in base.csv when the variant system was built
mpjl-srhz,lob,error,you,2026-09-15,in base.csv when the variant system was built
xykk-vmmx,lot,lot (land),you,2026-09-15,in base.csv when the variant system was built
jmkl-Cbnb,lok,place (space location),you,2026-09-15,in base.csv when the variant system was built
lwcc-tmCs,los,less of (-less) empty,you,2026-09-15,in base.csv when the variant system was built
sysk-fpbc,lox,string (computing),you,2026-09-15,in base.csv when the variant system was built
xlky-xbcn,lor,lord,you,2026-09-15,in base.csv when the variant system was built
fqtw-wfpv,lum,branch,you,2026-09-15,in base.csv when the variant system was built
xzgh-tpxm,lun,moon,you,2026-09-15,in base.csv when the variant system was built
Cntp-tcgC,luq,question,you,2026-09-15,in base.csv when the variant system was built
pgbr-sczm,lup,loop,you,2026-09-15,in base.csv when the variant system was built
zlqq-gzmf,lut,south,you,2026-09-15,in base.csv when the variant system was built
jcjn-kzyr,luk,look,you,2026-09-15,in base.csv when the variant system was built
vcCt-bvfC,luf,far (large-distance-focus),you,2026-09-15,in base.csv when the variant system was built
vgxj-dggf,luj,logic,you,2026-09-15,in base.csv when the variant system was built
bCtv-cfvq,wim,bounty,you,2026-09-15,in base.csv when the variant system was built
wtsw-dptw,win,when (time location),you,2026-09-15,in base.csv when the variant system was built
zlys-xssy,wiq,wing,you,2026-09-15,in base.csv when the variant system was built
grwl-ggcj,wig,kaleidoscope,you,2026-09-15,in base.csv when the variant system was built
skcf-kbCm,wip,white,you,2026-09-15,in base.csv when the variant system was built
wqgk-zyzq,wis,inverse,you,2026-09-15,in base.csv when the variant system was built
dnzx-mhpv,wiz,solve,you,2026-09-15,in base.csv when the variant system was built
wlfn-sbmn,wiv,connection network (neighborhood),you,2026-09-15,in base.csv when the variant system was built
ykmk-xtwb,wem,warm,you,2026-09-15,in base.csv when the variant system was built
cslx-dwdf,web,west,you,2026-09-15,in base.csv when the variant system was built
qzlm-ddps,wet,wait,you,2026-09-15,in base.csv when the variant system was built
rhrn-stnw,wek,week,you,2026-09-15,in base.csv when the variant system was built
jlfq-htfm,wez,fifteen,you,2026-09-15,in base.csv when the variant system was built
rgbb-pmwy,wev,wave,you,2026-09-15,in base.csv when the variant system was built
hzng-knlv,wan,why,you,2026-09-15,in base.csv when the variant system was built
wdCf-gqpd,waq,um,you,2026-09-15,in base.csv when the variant system was built
wvhd-jddb,wat,white,you,2026-09-15,in base.csv when the variant system was built
htcz-ntfg,wak,walk,you,2026-09-15,in base.csv when the variant system was built
mfgt-kCnC,wav,exist,you,2026-09-15,in base.csv when the variant system was built
fbCn-lCty,waC,water,you,2026-09-15,in base.csv when the variant system was built
cwcd-dqxh,war,wear,you,2026-09-15,in base.csv when the variant system was built
jpng-kCds,wal,while,you,2026-09-15,in base.csv when the variant system was built
wslq-gdvC,wom,well (good),you,2026-09-15,in base.csv when the variant system was built
rmkr-fkdf,woz,problem,you,2026-09-15,in base.csv when the variant system was built
tksk-Cljn,wor,forceful (like hard hit),you,2026-09-15,in base.csv when the variant system was built
smrx-hnyl,wol,wow,you,2026-09-15,in base.csv when the variant system was built
mrgl-mCmc,wum,swim,you,2026-09-15,in base.csv when the variant system was built
qvsx-Cxfn,wun,woo,you,2026-09-15,in base.csv when the variant system was built
ggpr-mzbx,wug,emanate,you,2026-09-15,in base.csv when the variant system was built
twvx-xzzp,wut,what,you,2026-09-15,in base.csv when the variant system was built
ddrz-bpCm,wux,system,you,2026-09-15,in base.csv when the variant system was built
fynj-qstc,grit,hello,you,2026-09-15,in base.csv when the variant system was built
Chdr-jvCx,griv,grieve,you,2026-09-15,in base.csv when the variant system was built
hrnn-lnvh,grem,grim,you,2026-09-15,in base.csv when the variant system was built
xrkw-dtmz,gred,grade (score),you,2026-09-15,in base.csv when the variant system was built
mhpr-bswx,grep,grape,you,2026-09-15,in base.csv when the variant system was built
xxkl-pwCl,gres,guess,you,2026-09-15,in base.csv when the variant system was built
jvsr-zmxs,gram,gram (measure),you,2026-09-15,in base.csv when the variant system was built
bymp-nvdx,grad,grid,you,2026-09-15,in base.csv when the variant system was built
smrb-lqsd,grap,issue,you,2026-09-15,in base.csv when the variant system was built
jqpx-hgvr,gras,grass,you,2026-09-15,in base.csv when the variant system was built
bgkt-ykcw,grav,graviton,you,2026-09-15,in base.csv when the variant system was built
qmhl-kyjz,grac,jaw,you,2026-09-15,in base.csv when the variant system was built
fwrt-ypzh,gral,foot,you,2026-09-15,in base.csv when the variant system was built
pjny-cfyh,groq,lion,you,2026-09-15,in base.csv when the variant system was built
ptsv-xmpq,gror,growl,you,2026-09-15,in base.csv when the variant system was built
jvwg-rfdz,grum,row,you,2026-09-15,in base.csv when the variant system was built
cymb-dzlm,grun,grow,you,2026-09-15,in base.csv when the variant system was built
xjyf-fgcz,grup,group (math),you,2026-09-15,in base.csv when the variant system was built
Cjbg-ywjw,grut,grit (strength),you,2026-09-15,in base.csv when the variant system was built
prfn-kvvd,gruv,rub,you,2026-09-15,in base.csv when the variant system was built
jsyy-qgwm,glip,lip,you,2026-09-15,in base.csv when the variant system was built
wmwq-lbmf,glen,gluon,you,2026-09-15,in base.csv when the variant system was built
zkzy-xvkx,gled,lay,you,2026-09-15,in base.csv when the variant system was built
vbgf-jvyx,glet,gate,you,2026-09-15,in base.csv when the variant system was built
jbwd-dtcm,glez,10^4,you,2026-09-15,in base.csv when the variant system was built
shxk-lwfd,glan,glide,you,2026-09-15,in base.csv when the variant system was built
vwqp-tqyd,glav,glove,you,2026-09-15,in base.csv when the variant system was built
fqxn-szkd,glob,planet,you,2026-09-15,in base.csv when the variant system was built
slcr-vqxr,glot,goat,you,2026-09-15,in base.csv when the variant system was built
bhzg-xwct,glok,your,you,2026-09-15,in base.csv when the variant system was built
kwlq-hnfq,glor,glare,you,2026-09-15,in base.csv when the variant system was built
CCnw-hnsq,gluk,lick,you,2026-09-15,in base.csv when the variant system was built
ttml-yghs,djin,gene,you,2026-09-15,in base.csv when the variant system was built
rrbx-rznr,djip,over,you,2026-09-15,in base.csv when the variant system was built
pmlh-wlzt,djiz,jeez,you,2026-09-15,in base.csv when the variant system was built
vgmw-ncdl,djek,reject,you,2026-09-15,in base.csv when the variant system was built
zvmr-yCmd,djam,jam,you,2026-09-15,in base.csv when the variant system was built
mqdq-wspC,djat,deal,you,2026-09-15,in base.csv when the variant system was built
jnmf-tkmr,djak,fingernail,you,2026-09-15,in base.csv when the variant system was built
rxrc-cztp,djas,justice,you,2026-09-15,in base.csv when the variant system was built
mfxd-qyxj,djaz,joy,you,2026-09-15,in base.csv when the variant system was built
pbbc-vwsb,djok,joke,you,2026-09-15,in base.csv when the variant system was built
cccs-jsyj,djud,jew,you,2026-09-15,in base.csv when the variant system was built
hfbm-sdyn,djus,juice,you,2026-09-15,in base.csv when the variant system was built
fgxt-dfbg,djul,jewel,you,2026-09-15,in base.csv when the variant system was built
cbrn-yvpx,drim,dream,you,2026-09-15,in base.csv when the variant system was built
Crrv-dpxz,drig,degree,you,2026-09-15,in base.csv when the variant system was built
brgy-zjbb,drib,10^6,you,2026-09-15,in base.csv when the variant system was built
qpzc-dwtl,driv,fate,you,2026-09-15,in base.csv when the variant system was built
bfwj-plkm,drix,direction,you,2026-09-15,in base.csv when the variant system was built
lpqg-zwns,dreg,drag,you,2026-09-15,in base.csv when the variant system was built
