english,tune
"Later in the calm of the night, when you get a chance.",
I also saw the moon in the sky.,
"The stars looked very small, yet they did flicker.",
It's pretty hard to see stars on a cloudy day.,
Where did the stars and the moon go?,
I went to sleep late at night.,
What a pretty rabbit it is!,
She hopped out of her burrow.,
Her eyes look all around eagerly.,
She perches on her toes and keeps her ears sharp and steady.,
"There was a breeze, then the rain followed.",
"Like a hunter, she looks around.",
She licks her ears and rubs her paws.,
Then there seemed to be gold in the rock.,
"They do not stop or give up, and instead continue to go ahead.",
"Hence, they never stop, going on all day seemingly forever.",
The digging in the middle of the tunnel does not stop.,
"Even when one rabbit stops to rest, others take over and continue the process.",
"If it rains heavily, how can they continue?",
Then they will have to stay home.,
It rains.,
What should I do next?,
The day is ending.,
Sun is sinking and the moon is becoming visible.,
"So, the rabbit has to take shelter and go to sleep.",
It is still so dark.,
I woke up from my sleep to see the next bright day.,
I wonder why you hardly ever see that in real life.,
I told my friends about my dream.,
The sun rises and falls in a seemingly endless cycle.,
"Finally, there is no more moon for us to see.",
Where did the moon go?,
What is left but a tree containing endless fruit?,
"Yes please, let's do it!",
"Okay, if you think that is the best path.",
The bird seems to be flying upside down.,
I don't see why that tree needs to be so tall.,
I often lose myself in the beauty of the forest.,
"Since we last walked here, the tree has grown by quite a lot.",
"However, it would be a lot more interesting to just jump in ourselves.",
This is basically the way trees grow.,
Put in a good word for me.,
We will be together until the end.,
I love late night walks.,
Will you love me forever?,
She loves the color of the sky in the early morning.,
"The tree has black leaves, long, slender, and beautiful.",
Flowers roses grew all around the house.,
Look at that clear blue sky!,
Purple flowers everywhere!,
"The way he moved, he made it look so easy.",
The rain was falling down hard.,
How high can trees grow amongst other trees in the forest?,
Lower your voice.,
I was living on a big piece of land when I was young.,
That tree is pretty darn big.,
My imagination runs wild sometimes.,
The forest was full of wild flowers.,
The lake is calm today.,
Sitting still helps me stay calm when I am having a bad day.,
We wanted to get closer to the wild animals because they were so beautiful.,
Don't stand so close to the fire.,
The storm is far away from here thankfully.,
This is the oldest tree on the land.,
This forest is full of very old trees.,
"The season is currently changing, as you can see since the leaves are getting brown.",
It was as hard as rock.,
Sun is a huge source of energy.,
She felt energy rushing through her.,
"If you follow this dirt path that way, you will reach a small forest.",
I have good feeling about this.,
My father is a really good man.,
What is your sibling's name?,
"Go to sleep, sweet child.",
Family matters.,
Welcome to our small but loving family.,
"Peace be with you, friend.",
"One kiss, one hug and one smile is all that it takes.",
For two years I dreamed of climbing that mountain.,
Knock three times.,
Where is your favorite place?,
"He jumped around the field, trying to catch a butterfly.",
We need to dig a hole and plant this seed.,
Do you have a plan for the adventure?,
I could hear interesting sounds like a song traveling through the night across the beautiful sea.,
"If you look carefully around you, you will find beauty everywhere.",
Who do you see in the lake?,
Come and find me.,
Find your true path.,
She could not resist the call of the wild.,
Call me tomorrow.,
I hope so too.,
"Aside from being pretty, this flower is also rare.",
Rain is falling once again.,
"We must leave, otherwise we will snowed in.",
"It is very cold outside, hence I am wearing a coat.",
This was a rich forest a while ago.,
Go straight ahead and you will find it.,
She was hiding behind the giant bush.,
Birds are flying over the land.,
I will plant a tree right here.,
There are many animals in this forest.,
What is all this?,
This is totally my favorite place.,
May I have some water please?,
How long will this storm last?,
"In the middle of the forest, you can see an old log rotting away into the ground.",
Sunrise is one of the beautiful parts of the day.,
Let's stay here for an hour longer.,
Every year I go and walk by the lake.,
The bird is still sitting still on the branch.,
Don't wander off too far.,
Tell me if you can see the moon tonight.,
I was eating the fruit but then I decided that I want to eat something else.,
Who planted the big tree over there?,
What will happen to the grass when winter comes?,
I know where bunnies hide.,
I always wondered why water has no taste.,
How did you sleep?,
Sometimes I like to travel far away from home.,
Love is not just a word.,
"We must take care of this planet, to be honest.",
If I plant five trees maybe at least one will grow.,
I never saw such wonderful river in my entire life.,
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.",
Sundown is another beautiful part of my day.,
I like to sit down on soft and bright green grass.,
Snow was falling all night and in the morning everything was white.,
Oceans are just too big!,
"Seven years ago, I saw a huge owl right there.",
We like swimming in the river.,
Stars shine bright tonight.,
A little wolf is playing with the wooden stick.,
Sand on this beach is totally black.,
"The light in the sky was blue and green, moving slowly, like magic.",
I can see the trees growing along the shore.,
"The air is crisp and fresh, and the night sky is clear.",
There is one last leaf left hanging from the barren tree.,
This summer my family is going on a long walk around the lake.,
One of his eyes was purple and the other one was blue.,
It seems like it used to rain almost every day when I was a child.,
The sea covers a larger part of the earth.,
"The bushes surround the forest, creating a boundary that protects the landscape.",
The bees love to suck on the nectar of flowers.,
"These type of red rocks are rarely found, you have to be extremeley patient while digging.",
Ocean waves were very high that day years back.,
"Dark clouds part, allowing the suns rays to enter once again.",
Sunshine in the northern part of the country seems a lot different from the south.,
Shrubs are pretty much always seen growing all over the forest floor.,
Did you ever climb up that super tall hill behind that one tree?,
"It's too far, we cannot walk there now, it's too late.",
"I like making this place mine, keeping it clean and fresh for anyone who comes by.",
"Look, the fire is blue right now, that is so cool!",
Have you ever tried making a fire all on your own?,
"You never actually see trees growing, they grow too slowly.",
And so I kept dreaming like it was real life.,
