bacos,bathhouse,ˈbæθhaʊs
terip,trap,tɹæp
teris,terrace,ˈtɛɹəs
terot,tea,tiː
terun,train,tɹeɪn
teruz,trousers,ˈtɹaʊzəɹz
tikis,text,tɛkst
timut,tomato,təˈmeɪtoʊ
tinan,tin,tɪn
tinin,tone,toʊn
tipes,tempest,ˈtɛmpɪst
tipol,temple,ˈtɛmpəl
tiraq,tree,tɹiː
tirek,track,tɹæk
tiren,terrain,təˈɹeɪn
tizit,taste,teɪst
tocaq,tooth,tuːθ
tofaq,tuff,tʌf
tolin,tool,tuːl
tomin,thyme,taɪm
tonen,tongue,tʌŋ
tonim,titanium,taɪˈteɪniəm
tonit,toe,toʊ
tonok,tunic,ˈtuːnɪk
tonon,town,taʊn
toraq,tar,tɑːɹ
torus,torso,ˈtɔːɹsoʊ
totol,title,ˈtaɪtəl
totul,turtle,ˈtɜːɹtəl
tudar,tundra,ˈtʌndɹə
tuden,toad,toʊd
turib,tributary,ˈtɹɪbjəˌtɛɹi
turod,tornado,tɔːɹˈneɪdoʊ
vadej,village,ˈvɪlɪdʒ
vadur,visor,ˈvaɪzəɹ
vagum,vacuum,ˈvækjuːm
vajaq,watch,wɑːtʃ
vajol,vegetable,ˈvɛdʒtəbəl
vapuk,riverbank,ˈɹɪvəɹbæŋk
velaq,willow,ˈwɪloʊ
velav,valley,ˈvæli
velet,whale,weɪl
veluv,veil,veɪl
venas,venus,ˈviːnəs
venat,wound,wuːnd
veneg,vinegar,ˈvɪnɪɡəɹ
venin,vine,vaɪn
venis,venison,ˈvɛnɪsən
venol,vinyl,ˈvaɪnəl
venon,vein,veɪn
vipor,vapor,ˈveɪpəɹ
vizaq,vise,vaɪs
vokon,volcano,vɑːlˈkeɪnoʊ
volav,valve,vælv
volof,wolf,wʊlf
volut,wool,wʊl
voreg,virgo,ˈvɜːɹɡoʊ
vozaq,voice,vɔɪs
vozet,vest,vɛst
vudit,wood,wʊd
wibij,wedge,wɛdʒ
wijan,wednesday,ˈwɛnzdeɪ
wijar,whisper,ˈwɪspəɹ
wijut,world,wɜːɹld
wikar,water,ˈwɔːtəɹ
wikas,wax,wæks
wikax,workshop,ˈwɜːɹkʃɑːp
wikiv,waterway,ˈwɔːtəɹweɪ
wikor,winter,ˈwɪntəɹ
wikot,well,wɛl
winaq,wine,waɪn
winas,warehouse,ˈwɛɹhaʊs
winol,woodland,ˈwʊdlænd
winul,wetland,ˈwɛtlænd
wiraq,wall,wɔːl
wirat,wire,waɪəɹ
wiron,word,wɜːɹd
wisal,wasteland,ˈweɪstlænd
wisol,weasel,ˈwiːzəl
witen,wheat,wiːt
witit,waist,weɪst
witon,window,ˈwɪndoʊ
wivaq,wheel,wiːl
wivet,wind,wɪnd
wivev,wave,weɪv
wivol,waterfall,ˈwɔːtəɹfɔːl
xafol,shovel,ˈʃʌvəl
xakaq,chalk,tʃɔːk
xakit,shirt,ʃɜːɹt
xakol,charcoal,ˈtʃɑːɹkoʊl
xapaq,sheep,ʃiːp
xapat,ship,ʃɪp
xarex,chair,tʃɛɹ
xarin,shrine,ʃɹaɪn
xarux,shower,ˈʃaʊəɹ
xatin,shout,ʃaʊt
xedaq,sheet,ʃiːt
xedot,shed,ʃɛd
xegix,shellfish,ˈʃɛlfɪʃ
xegor,sugar,ˈʃʊɡəɹ
xelat,shield,ʃiːld
xelof,shelf,ʃɛlf
xelor,shoulder,ˈʃoʊldəɹ
xeloz,shallows,ˈʃæloʊz
xerik,shark,ʃɑːɹk
xifat,chest,tʃɛst
xikaq,cheek,tʃiːk
xiken,chicken,ˈtʃɪkɪn
ximor,chamber,ˈtʃeɪmbəɹ
xinaq,chin,tʃɪn
xinen,shin,ʃɪn
xinun,chain,tʃeɪn
xiral,chisel,ˈtʃɪzəl
xiras,shorts,ʃɔːɹts
xirax,shore,ʃɔːɹ
xixaq,cheese,tʃiːz
xiyat,chert,tʃɜːɹt
xolaq,shale,ʃeɪl
xolex,shawl,ʃɔːl
xolux,shoal,ʃoʊl
xonit,chant,tʃænt
xonol,channel,ˈtʃænəl
xorat,cherry,ˈtʃɛɹi
xorex,church,tʃɜːɹtʃ
xudit,shadow,ˈʃædoʊ
xupit,shop,ʃɑːp
xurex,shoe,ʃuː
yaran,yarn,jɑːɹn
yarut,yard,jɑːɹd
yonos,uranus,ˈjʊɹənəs
yotut,yogurt,ˈjoʊɡəɹt
yukek,yak,jæk
zabar,zebra,ˈzɛbɹə
zalid,solid,ˈsɑːlɪd
zanak,zinc,zɪŋk
zelit,slate,sleɪt
zidol,spindle,ˈspɪndəl
zolit,salt,sɔːlt
