word,meaning
hid,not hidden
hidan,hidden
hidlan,headline
hidot,idiot
hifuz,effusion
higar,eager
higlan,eagle (bird)
higlut,bed
hignus,igneous
higot,ego
higoz,vanish
higruf,fist
hik,hike
hikal,hall
hikan,squid
hikep,equip
hiklar,equal
hilak,elect
hilaps,elapse
hilat,elite
hilk,elk
hiltac,hesitate
hilud,elude
hiluf,replace
hiluk,partition
hilul,desecrate
hilutz,constrain
himars,immerse
himat,emit
himex,emission
himgrat,immigrate
himpak,impact
himpal,impale
himpals,impulse
himpart,impart
himpitx,impeach
himplan,imply
himplav,implore
himsiq,invent
himtet,imitate
himux,ammunition
hinak,enact
hindak,induct
hindant,indent
hindat,indict
hindjan,hinge
hindjar,injure
hindjast,ingest
hindor,hinder
hindors,endorse
hinfek,infect
hinfes,interface
hinflem,inflame
hinflit,inflict
hinfur,infer
hinkar,inquire
hinkor,incur
hinlaq,inlay
hinsab,inhabit
hinsal,inhale
hinsants,incense (smell)
hinsis,insist
hinskrab,inscribe
hinstad,instead
hinstants,instance
hinsurt,insert
hinten,intend
hintgral,integral
hintorn,intern
hintrak,interact
hintrap,interrupt
hintrud,intrude
hintvin,intervene
hintx,inch (measurement)
hinuf,enough
hinvet,innovate
hinvok,invoke
hinvort,invertebrate
hinvos,invoice
hinxal,initial (beginning)
hip,group
hipan,hip
hiptaz,hypnotize
hipul,impel
hiqgret,integrate
hiqkam,income
hiqkub,incubate
hir,hear
hiram,flounder (fish)
hirav,sword
hirdas,iridescence
hirgat,irrigate
hirod,erode
hirum,emergency
hirut,hire
his,snake
hiskep,escape
hispik,suffice
histark,hysterical
hisul,eliminate
hitak,thrust
hitkaf,spasm
hitkat,ingratiate
hitmet,intimate
hitpak,explode
hitrap,recover
hituk,bisect
hitxiq,hitch
hitzum,climax
hitzuv,design
hivad,slave
hivik,heave
hivniq,evening
hivok,evoke
hivux,rustle
hixkol,cluster
hixpuz,hospital
hixvar,supreme
hizak,exact
hizet,impersonate
hiznik,neglect
hizun,equilibrium
hizut,ease
hoben,obey
hobladj,oblige
hoblik,oblique
hocrak,oath
hodar,odor
hodik,ode
hogal,ogle
hogor,hoard
hokek,length
hoksip,hoax
hokur,occur
holan,hull
holast,last (staying)
holid,holy
holiq,howl
holv,elbow
holzem,latter
hom,home
honas,onus
honiq,hoe
honot,swindle
honts,ounce
hop,hope
hopal,opal
hopan,opine
hopok,perky
hopres,oppress
hoqat,owe
hoqnev,hold off
hoqvun,hold on
horbot,orb
horden,ordain
hordjip,orgy
hores,heresy
horfad,horrify
horfan,orphan
horgan,organic
horlig,hurl
horn,horn (animal)
hornit,wasp
hort,heart (body)
hortxad,orchard
horx,oh
hosil,tent
hostan,host
hostar,hoist
hostik,osteichthyes
hotat,scallop
hotrut,oat
hov,floating point
hovan,debt
hovcroq,overthrow
hovis,oversee
hovkast,overcast
hovtorn,overturn
hovxad,overshadow
hozir,hose
hub,x-axis
hubob,hub
hubtan,obtain
hudj,vowel u sound
hudjant,huge amount
hudjun,huge
huforn,hoof
huk,hook
huksuk,blubber
hum,urge
humad,humid
humgrat,emigrate
humlet,humiliate
hunak,harpoon
hunik,sea urchin
hunlit,wedding
hunmat,frantic
huprat,upright
huqgat,aunt/uncle
hurast,heuristic
hurdor,hood (cover)
hurin,hurry
hurmat,hermit
hurot,heir
hutak,seam
hutom,hut
hutut,hoot
hutx,itch
hutxik,train (car)
hutxit,accustom
hutxuk,fetch
huv,handle
huvkan,diagnose
huz,duration
huzband,husband
jabar,math
jabir,legging
jak,wisdom
jaket,jacket
jakspoz,juxtapose
jaktor,chat
jalf,j sound
jalim,jelly
jalus,jealous
jan,spirit
janrat,degenerate
jaq,count
jaret,jar
jasten,joust
javal,swathe
jazur,gossip
jet,throw
jetaj,throw away
jeton,token
jidar,jitter
jil,stream
jirar,swear
jom,pattern
jontal,gentle
jontif,contiguous
jonxar,scatter
joqkil,daffodil
joval,jovial
judix,judicious
jul,universe
julam,reality
junip,juniper (tree)
junral,general
juptas,jupiter
kaCal,disposition
kaCif,projectile
kab,receive
kabnet,cabinet
kabol,cobble
kacac,furniture
kacard,coward
kacir,viscous
kadal,cuddle
kadat,succumb
kadid,helmet
kadjul,ashamed
kadol,coddle
kadom,precede
kadsul,counsel
kaf,cough
kafaf,extenuate
kafam,however
kafar,close oneself off
kafif,subordinate
kafitz,coil
kafkaf,flip-flop
kaftor,button
kagnet,cognate
kagnix,cognition
kajul,cashew
kakak,quack
kakal,quell
kakit,oyster
kakol,cackle
kakor,basin
kakrotx,cockroach
kaktas,cactus
kakuz,cuckoo
kal,time
kalad,collide
kalal,scour
kalaz,equalize
kalbret,calibrate
kaledj,college
kaletz,rescue
kalif,successor
kalig,colleague
kalil,scarcity
kalit,leporidae (hare)
kalkal,economy
kalkun,caulk
kalmnet,culminate
kaln,kaon
kalnin,colony
kalor,cower
kalox,dominate
kalpox,kelp
kaltxob,couch
kaltxur,culture
kalud,collude
kaluk,trout
kalxaq,oven
kamants,commence
kamaqk,comma
kamar,gamble
kamars,commerce
kamat,flour
kamban,combine
kambast,combust
kambat,combat
kamdin,comedy
kamdir,commandeer
kamet,comet
kamflaj,camouflage
kamix,commission
kamkruc,come up with
kamon,common
kamorx,commercial (tv)
kamp,camp
kampak,compact
kampal,compile
kampand,compound
kampas,compass
kampir,compare
kampit,compete
kamplant,compliment
kamplaq,comply
kamplem,complement
kamplen,complain
kamplit,complete
kampoz,compose
kampraz,comprise
kampten,competent
kamput,computer
kamran,camera
kamsan,thief
kamtiq,committee
kamtzan,oxygen
kamut,commute
kan,aggregate
kanan,canyon
kanart,con
kandam,condemn
kandet,candidate
kandiz,candy
kandon,condone
kandsand,condescend
kanfad,confide
kanfan,confine
kanfand,confound
kanfanz,conference
kanfat,attitude
kanfdent,confident
kanfig,configure
kanform,conform
kanfort,confetti
kanfran,confront
kanfur,confer
kangrats,congratulate
kaniq,cunning
kanjur,conjure
kankak,concoct
kankest,conquest
kanklud,conclude
kankrit,concrete (abstract)
kankur,concur
kanop,canopy
kanot,connotation
kansal,cancel
kansalt,consult
kansan,consign
kanses,consist
kansid,concede
kansit,conceit
kansiv,conceive
kanskret,consecrate
kansol,console
kansoq,baggy
kansorn,concern
kansort,consort
kanspir,conspire
kanstrent,constraint
kanstruk,construct
kanstrul,construe
kansur,connoisseur
kantaks,context
kantam,quantity/quanta
kantand,contend
kantemp,contempt
kanten,contain
kantit,quantity
kantor,counter
kantort,contort
kantplet,contemplate
kantrak,contract
kantriv,contrive
kantrol,control
kantrup,gargle
kantx,crunch
kantxold,quench
kantxut,concrete
kanvaks,convex
kanvals,convulsant
kanvas,canvas
kanven,convey
kanvik,convict
kanvin,convene
kanvors,converse (opposite)
kanvurdj,converge
kanzoq,fancy
kapor,concave
kapot,skim
kaprat,copyright
kaprik,cap
kapsaz,capsize
kapslet,encapsulate
kapstet,incapacitate
kapten,captain
kapxam,caption
kapxur,capture
kaq,object
kaqak,goose
kaqgres,congress
kaqgret,congregate
kar,call
karafs,celery
karan,car
karbet,carbonate
karbon,carb
kardj,cartilage
kares,caress
karfon,cuff
karik,query
karin,carry
karir,career
karitz,slot
karix,shark
karkix,rattle
karmac,karma
karmaz,carve
karnab,cauliflower
karnaf,rhino
karnal,kernel
karnev,call off
karnval,carnival
karom,heal
karpit,carpet
karpuc,keep up with
karpvun,keep on
karsaq,audience
karset,incarcerate
karsol,ankle
kart,crown
kartan,carton
kartoC,character (portray)
kartx,cache
kartzef,scrub
kartzin,quartz
karvat,market
kasan,instant
kasat,allot
kasked,cascade
kaskron,cask
kasplen,explain
kastam,custom
kastget,castigate
kastik,caustic
kat,focus
katar,ooze
katif,shoulder
katlag,catalog
katlist,catalyst
katloC,catalogue
katnet,concatenate
katoq,cut
kator,cruel
katpult,catapult
katrig,accuse
katsek,tip (peak)
katvun,cut back on
katxip,chip (block)
katzav,butcher
kavak,dust
kavat,caveat
kavid,liver
kavik,wolverine
kavod,honor/respect
kavon,cavern
kax,perfect
kaxad,suspicion
kaxiq,cash
kaxkix,babble
kaxon,quash
kaxun,caution
kaz,cause
kazalt,casualty
kazar,return at regular intervals
kazis,piece
kazit,facade
kebit,evil
kedjot,cage
kejan,occasion
kek,agree
kekep,harsh
kelak,quail
kelas,chaos
kemdusk,come across
kenan,canidae
kenat,kin
kendiq,approve
kenos,rape
kep,clone
kepal,capable
keproC,cape
kes,case (situation)
ket,but
ketor,cater
ketsef,sequence
ketxul,demand
kevur,grave
kibol,quibble
kid,could
kidak,gun
kiden,equidae
kidnap,kidnap
kidran,equation
kidum,promotion
kifal,crease
kigak,beaver
kijon,cajole
kik,kick
kikab,maple (tree)
kikar,plaza
kiknev,kick off
kikuq,finch (bird)
kil,cyan
kilar,cucumber
kilat,keel
kiluv,obligate
kilxon,pitchfork
kim,climb
kinam,lamentation
kinat,louse
kindants,condense
kipan,ghast
kipod,hedgehog
kirn,cure
kis,bottom
kisak,kiss
kisfim,longing
kitrak,kit
kitxam,kitchen
kitzaf,foam
kitzon,external
kitzub,ration
kiv,intent
kival,isolation
kivar,quiver (shake)
kivlant,equivalent
kivutz,compress
kixar,knot
kixut,decorate
kiz,if
kladod,clod
klagxin,clog
klak,clock
klalak,curse
klamp,clamp
klantam,fatigue
klantx,clench
klanz,cleanse
klap,danish a vowel sound
klapit,clap
klasfan,classify
klasik,classic
klasp,clasp
klatur,clatter
klatxul,clutch
klaxon,clash
klazet,closet
klefan,clef
klidon,cotyledon
klimet,acclimate
klinrik,clean up
klintx,clinch
klipron,clip (cut off)
klipsat,clip (bind)
klir,clear
kliv,cave
klivrak,cleave
kloCiq,clothing
kloCos,clothe
klolak,shoot
klorfil,chlorophyll
kloztaj,close down
klubas,club (society)
klum,cue
klutz,pioneer
kod,code
kodjiz,caliber
kodorz,coerce
kof,default
koglant,coagulant
kok,disagree
koken,coke
koksat,coax
kokzit,coxeter
kol,all
kolab,collaborate
kolav,rack
koles,coalesce
kolet,collate
kolket,collocate
kolot,coyote
koltx,ouch
kom,five
koman,coma
komarn,comb (hair)
komind,commend
komprend,comprehend
kon,and
konduk,conduct (electricity)
konflas,convalescence
konsad,coincide
konstrit,constrict
kontrib,contribute
kop,scope
kopal,compel
koqdip,vacate
korag,core
koral,coral
korban,victim
kordat,cord
koredj,courage
korgraf,choreograph
korig,ore
kork,curl
korkaz,cork
korlet,correlate
kormant,cormorant
korn,category
kornab,corn
kornar,corner
korod,corrode
korol,quarrel
korpret,incorporate
korsiq,currency
korson,cursor
korvid,corvid
korx,xor
kotan,quota
kotas,quote
kov,cover
kovat,covet
kovem,cove
kox,cell (biology)
koxant,quotient (division)
kozin,cozy
krabac,crab
krabret,corroborate
krag,node
krakdal,crocodile
krakol,crackle
kraksoq,crux
kralog,crawl
krambol,crumble
kramp,cramp
krampol,crumple
kranik,chronic
krankal,chronicle
krapiz,crop (cut)
krapoC,crop (food)
krast,annoint
krastin,christen
krastoz,crest
kratik,critique
kraxik,crush
kred,credit
kredol,cradle
krek,cake
krem,chemical
krenatx,crane
krep,crypto
kreqkit,cranky
kretor,crater
krev,crave
kribet,crib
kridant,creed
kriket,cricket
krikun,creak
krilat,frolic
krimet,cremate
krimol,cream
krinat,buy
kripol,cripple
krisat,collapse
krispal,crisp
krist,anoint
kristal,crystal
kritak,diacritic
kritik,critic
kritsaz,criticize
krixnam,wicked
krok,croak
krolb,unobstruct
krusfad,crucify
krustax,crustacean
krutx,crouch
kruzig,cruise
kub,cube
kubox,conquer
kud,miss (didn't touch)
kuf,clue
kugak,swan
kujan,recursion
kukan,cock (action
kukat,infamy
kul,cool (interjection)
kulam,coulomb
kuldan,cool
kulor,peculiar
kulos,meticulous
kulx,answer
kum,back area
kumat,pear
kumbant,incumbent
kumkum,kettle
kumlet,accumulate
kumrik,back up
kumtaj,back down
kundal,bowl
kup,tone
kupun,coal
kur,down
kurant,current (recent)
kuras,curious
kurdjun,curd
kurfus,cringe
kurkan,cook
kurkul,curriculum
kursuf,artichoke
kurtal,curtail
kurten,curtain
kurun,cabbage
kurv,curve
kusol,console (help)
kusrat,cuss
kutun,cottonwood (tree)
kuv,divide
kuxon,cushion
kuzam,lavender (vegetable)
laCad,stack
laCir,lather
laCor,leather
labin,lobby
labot,fan (action)
labret,elaborate
labtor,lab
ladid,delicious
ladin,laud
ladjil,litter
ladjip,garbage
lag,organ (body)
lagar,log
lagron,lug
lajslet,legislate
lak,like
laklod,lock
lakok,client
laks,lack
laksen,diagonal
laksex,relaxation
lakxmin,prosperity
lal,y-axis
lalants,alliance
laltuk,corny
lalxik,old-fashioned
laman,lamb
lamant,lament
lambor,lumber
lamid,tutor
lamnet,laminate
lampoq,lump
lampren,lamprey
landj,lounge
landskep,landscape
landur,launder
lanmeq,league
lanoq,blush
lapres,lap (race)
lapsin,lapse
lapsiq,lapse
laq,object feature type
laqfek,lavish
laqk,wool
laqkit,lanky
laqxiq,virtuous
lardj,large
larg,element
largan,layer
larm,limb
larot,pregnant
lart,let
lartaj,let down
lartas,let in
larus,gull
larx,10^12
lasak,flock
lasents,license
lasit,hit (popular)
lastor,luster
latas,lattice
latif,entertain
latniq,lightning
latus,lettuce
latxam,latch
lavan,satellite
lavrat,lava
lax,add
laxliv,lush
lazan,almond
lazim,due
lazulin,lapis lazuli
lazup,candle
leC,point
leCast,bore (boring)
leCsur,point out
lebal,label/characterization
lebor,labor
lefant,elephant
legant,elegant
lejand,legend
lek,collect
lentxas,lane
lep,push
lepor,leporidae
leqgix,languish
les,air
lesiq,lace
leson,lesson
letar,late
levirc,levy
levradj,leverage
levtat,levitate
lezin,lazy
libran,library
libret,liberate
lid,lead
lidrop,lid
liftap,lift
liglug,ridicule
lijur,leisure
likan,liken
likdet,liquidate
likxaq,mangle
lil,boolean
lilaq,might
limeq,leeway
limp,limp
limpat,smear
linadj,lineage
linant,lenient
linfat,lean (fat)
linmar,courtesy
linsek,miserly
linset,stingy
lint,lint
lintaf,lynch
linxik,temporary
linzol,drip
lipar,leap
lipard,leopard
liqkax,relinquish
liqloq,exquisite
liqsul,nimble
lird,wet
lirin,leer
lirk,ratio
lisat,elicit
lisem,bread
lisiq,lease
lispus,lisp
lit,light
litar,liter (measurement)
litget,litigate
litral,literal
litxab,little
litzan,clown
lived,evade
livet,alleviate
livik,evict
lixaq,ideal
loCig,loathe
loCud,loath
loban,boss
lok,place (space location)
lokan,open space
loket,locate
lokmat,warfare
lon,loan
lonak,lone
lonal,loyal
lor,lord
lorbzat,lobe
lored,already
lorgas,log in
lorgsur,log out
lorkit,lurk
lorn,line
lorst,lust
lortxik,lurch
lot,lot (land)
lotar,loiter
lotxuq,protrude
lox,string (computing)
lubrik,lube
ludjun,lunge
ludrap,lewd
luf,far (large-distance-focus)
lukmat,look forward to
lukproz,look for
lukret,look after
lukrik,look up
lulek,reed (plant)
lum,branch
luman,lumen (measurement)
lumbat,harass
lumet,loom
lun,moon
lunkom,profile
lunsiq,lunacy
lup,loop
lupsum,bolt
luqan,lung
luran,lure
lurv,leave
lusad,lucid
lusdet,elucidate
lusiv,elusive
lusul,halogen
lutrak,loot
lutrin,otter
luxiq,popular
mab,source
mabac,mob
mac,great
mad,middle
madaf,shelf
madam,intoxicate
madat,revel
madfan,modify
madil,armadillo
madim,uniform (clothing)
madist,modest
madjast,majesty
madjat,dive
madjiq,video
madjnon,mad
madol,muddle
madret,moderate
madsin,medicine
magaf,boot (shoe)
magan,dock
magat,maggot
magef,epidemic
magets,iron
magop,mug (rob)
magref,rake
magur,tuna
magux,tray
magzin,magazine
makaz,muck
maklas,refugee
makniz,mechanism
makov,grief
maks,maximum
maksim,maxim
malin,filth
maliz,sermon
malok,king
malor,maul
malosk,mollusk
malum,special
malzal,frizz
mamar,sorrow
mamat,debate
mambol,mumble
mamig,mummy
mamip,mime
manaj,manage
manan,dose
manat,ponder
mandal,round
manden,mundane
mandjor,manager
mandor,meander
manfak,manufacture
manmant,monument
manok,motor
manor,manner
manplet,manipulate
manpol,monopoly
mantram,utter
mantrim,monotreme
mants,monster
mantxam,munch
manuC,humanity
manun,passion
manut,occuptation
manxan,shy
mapen,mop
mapon,habitat
maqk,monkey
maqkur,manicure
marC,quite
marad,nurse
marak,soup
marbol,marble
maric,marry
marid,sick
marjant,merchant
marjin,margin
markan,mark
marm,mammal
marn,muon
marnet,marinate
marodj,marry (wed)
marst,must
marsup,marsupial
martol,mettle
martor,martyr
martx,march
maruf,decend
marun,maroon
marvol,marvel
marx,mesh (inter-)
marxol,marshal
marzas,mars
masadj,massage
masarg,expensive
masart,massacre
masib,party
mask,mask
maskit,musk
masmir,nail (carpentry)
masol,mussel
masor,saw (tool)
masoz,territory
mastim,must (smell)
mastur,muster
masut,character (nature)
mat,forward
matar,shower (water)
matben,coin
matkak,paddle
matod,nematoda
mator,mutter
matrik,metric
matsav,situation
matxor,mature
matzat,cracker
matzuk,distress
mavat,die
mavok,maze/labyrinth
mavon,introduction
maxkin,pledge
maxot,oar (boat)
maxov,feedback
maz,flow (speech utterance)
mazal,luck
mazic,muze
mazlig,fork (utensil)
mazlog,muzzle
medket,medicate
medlaq,meddle
medun,median (math)
meduz,jellyfish
mejar,major
mek,make
mekir,err
mekrik,make up
mekxud,mute
melak,mail
melon,melon (vegetable)
memac,mammoth
memik,maim
memon,memo
memraz,memorize
menak,money
menas,menace
menat,mane
mendin,mend
menten,maintain
mentur,mentor
mepal,maple
mepartx,map (chart)
meset,emaciate
mesid,stumble
mesor,tradition
metak,tension
metan,thing about the thing (meta-)
metar,chord (math)
metfor,metaphor
metmorf,metamorphic
metraks,matrix (math)
mezan,maze
mezraz,mesmerize
miCim,ticket
miClar,mediate
micad,method
micak,myth
midan,media
midar,myriad
midrax,interpret
midur,compartment
mifkad,census
mifrak,joint (biology)
migdal,tower
miget,mitigate
migor,meager
mikar,survey
mikdax,temple
mikil,burrow
mikran,mechanical
miks,mix
mikxur,mixture
mikzur,recycle
milan,mill
milat,cement
milit,filling
milvin,kite
mimak,mimic
min,not know
minag,custom/traditional practice
minan,offering
minet,internet
miniq,mean (verb)
minor,lamp
minral,mineral
minsar,prism
minstar,administer
minsul,miniscule
mintan,mint (make)
mints,mince
minuk,serenity
minz,means
miput,minority
miqmat,muskox
mir,bright
mirad,revolt
miraj,mirage
mirak,miracle
mirdat,spare
miriq,merry
mirkam,texture
mirman,fraud
mirt,meter
mirxam,recipe
misal,missile
misat,protest
miskuz,promiscuous
mislid,mislead
mismat,certificate
mismis,apricot
misok,erase
misples,misplace
misrut,loyalty
mit,meet
mitzud,fortress
miv,idea
mivrak,telegram
mixdal,transmission
mixkan,ointment
mixtar,regulate
mizam,initiative
mizvad,luggage
mobal,mobile
mod,mode
modarn,modern
mog,meaning
moj,emerge
mok,align
mokxam,fly (bug)
moldos,mold (bacteria)
moleq,mole
momart,momentum
moment,moment
momret,commemorate
moniq,moan
mop,twelve
mord,manifold
mordj,merge
mordur,murder
morfoz,metamorphosis
morgaj,mortgage
morn,m sound
mornaq,mourn
morniq,morning
morp,10^36
morpak,mope
mortal,mortal
mortfan,mortify
mortor,mortar
morvig,mighty
mosad,institution
moskit,mosquito
most,most (-est) (large-collection-partition-focus)
motant,mutant
motif,motif
motiv,motive
motpik,peak
motran,moat
motvet,motivate
mufol,muffle
mug,(past particle)
muj,message
muk,earth (dirt)
mukan,dumb
mul,unreal
mumiq,moo
mundam,bald
muq,mmm
murib,suspicious
murkas,mercury
musag,concept
musaq,aardvark
musit,overall
muskam,convention
mustal,mustelidae
mustax,mustache
mut,mutate
mutin,mutiny
mutlet,mutilate
muton,moot
mutxal,mutual
muvun,move on
muxak,prolonged
muxit,mush
muzik,music
muzrig,muse
muzul,muscle
naban,nub
nabliq,knob
nabog,genius
nadad,wander
nadak,nod
nadar,cnidaria
nadiv,generous
nadot,banish
nafak,capacity
nafots,widespread
nagak,goad
nagin,eel
nagon,melody
nagret,inaugurate
nagud,contrast
najat,nauseate
nak,knock
nakal,palm tree
nakik,crevice
naksur,knock out
naktir,exhaust
nakul,cervidae
naldjin,analogy
namal,port
namnet,nominate
namraq,humble
nand,nand
nantxiq,junior
nanz,noise
napar,nap
napek,inflate
napot,sift
naptas,neptune
nardj,farenheit
nardjur,nurture
naret,narrate
naroq,narrow
nartik,vagina
nas,nest
nasig,retreat
nasir,ally
nasot,attempt
nastik,skeptic
nastin,nasty
natan,gnat
natim,parallax
natiq,knight
natir,monitor
natral,natural
natran,sodium
natsik,phocidae (seal animal)
natx,n sound
natxav,notch
natz,glory
natzal,exploit
navget,navigate
navuk,prophesy
naxaf,breeze
naxnal,national
nebul,nebula
ned,static
nedir,vow
nefil,tumble
nefros,kidney
negif,virus
negox,negotiate
nek,neck
nekad,naked
nekam,revenge
nekdot,anecdote
neks,10^27
nektar,nectar
nekud,dot
nelar,document
neliq,neigh
nes,nice
nesag,steer
nesal,nestle
nesgras,lawn
net,knit
neval,navel
nexan,nation
nidol,needle
nijak,specific
nik,pink
niknas,enter a state
niknum,nickname
nilaks,lux (measurement)
nilam,restraint
nilet,annihilate
nilkam,wage war
nilod,neon
nimnan,depression
nimtul,clay
nimuk,justification
nipatx,nip
niputz,smashing
nir,nerd
nirvan,extinguish
nirvos,nervous
nirxan,inertia
nisan,necessary
nisbet,proportion
niscat,anesthetize
nisig,recession
nitak,chunk
nituk,severing
nitzul,usage
nival,harp
nivast,invest
nivim,prophecy
nixin,herring (fish)
nixsrik,ugly
niz,nest (structure)
nizak,damage
nizkar,remember suddenly after having forgotten
nobold,noble
nol,toward
nolkam,nook
nolrin,area
nomliq,anomaly
noqtxun,rural
norc,north
norm,normal (math)
normal,normal
norn,knee
norx,nourish
nosal,proceed
nosep,passenger
not,note
notet,annotate
notfak,notify
notis,notice
novak,realize
noval,novel
nox,notion
nubol,nibble
nudjip,nude
nukan,nick
nukis,nut
nuklit,ursidae
nul,forget
numan,numb
numret,enumerate
nunan,none
nunxet,annunciate
nuq,bond
nurf,vowel large U sound
nursrik,nursery
nurv,nerve
nusants,nuisance
nutan,newton (force)
nutlan,newt
nutrant,nutrient
nutriC,nutrition
nuzol,nuzzle
nuzul,lodge
pabol,pebble
pac,path
pacar,prefer
pacrun,pass through
padat,topple
padman,lotus
padol,puddle
padot,simmer
pafnin,modulate
pagov,seduce
pajot,pit
pak,package
pakal,digest
pakav,prevent
paket,packet
pakid,official
pakil,confiscate
pakim,drift
pakit,pocket
paklis,populate
pakof,overtake
pakor,displace
paktor,pact
pakxur,puncture
pakziv,disappoint
palaf,tame
palan,pollen
palaq,nifty
palat,pilot
palix,polish
palmor,froth
palon,hostile
palor,power
palset,pulsate
palsiq,policy
palsiv,repulsive
palson,pulse
paltir,improvise
paltop,polytope
paltxim,forsake
pam,pray
pamen,coach
pamol,pummel
pamon,bell
pampas,pomp
pampem,dim
pampon,pump
pampor,pamper
pan,yes
panak,pine
panan,companion
panaq,paw
panas,torch
pancir,panther
pandam,pendulum
pandor,pander
pandoz,pond
pandrom,palindrome
panin,pearl
panis,penis
panit,delight
panix,punish
pankxet,punctuate
panol,panel
panot,torment
pansul,peninsula
pantim,pint
pantit,punt
pantsil,pencil
pantx,hit
pantxes,punch
panxam,pan (move)
papan,vicious
papap,pop
papat,pipe
paplar,poplar
par,depart/from
parab,parable
parag,poppy
parat,pirate
parav,involve
parax,perish
pardiq,parody
parfrez,paraphrase
parfum,perfume
pargraf,paragraph
parket,park (place)
parklar,particular
parlaz,paralyze
parleq,parley
parmit,permit
parn,purr
parom,pile
parpil,obscure
parsant,percent
parsiq,parse
parsis,persist
parson,personal
parspet,participate
partek,partake
partnor,partner
partorv,perturb
partx,land (perch)
parvam,perform
parvan,fur
parvat,rugged
parxut,parachute
parz,p sound
pas,space
pasaj,passage
pasal,idol
pasar,sparrow
pasbal,possible
pasfag,pacify
paskal,pascal (measurement)
paskon,period (mark)
pasor,ban
pastal,pastel
pastlet,postulate
pastxur,posture
pasur,prowl
pat,dimension
patant,patent
patas,pout
patat,soar
patix,hammer
patof,envelop
pator,encircle
patox,pot
patridj,partridge
patrol,patrol
patruz,pat
pavit,distort
pavrir,ventilate
pavtak,secure
paxar,confirm
paxip,posh
paziq,pause
pazkir,cite
paztor,repository
pedir,herd
pedral,pedal
pegrac,peg
pekiq,peck
pelard,steel
pem,they (communicating-agent-external-reference-focus)
peniqk,ink
penrat,pen
pentas,pant
pentiq,penalty
pentret,penetrate
peq,pay
peqkum,pay back
pesod,fan (person)
pest,paste
pestal,pedestal
pestor,pester
pestron,pest
petal,petal (flower)
petol,toll
petor,patter
petraf,petrify
petran,patron
pevmant,pavement
pevram,pave
pezant,peasant
pidjon,pigeon
pigment,pigment
pigum,scaffolding
pigur,lag
pikxar,picture
pilac,peel
piladj,pillage
pilat,blame
pilfar,pilfer
pilpal,pepper
pim,permeate
pimoz,pea (vegetable)
pinar,pin
pinast,grind
pinlaz,penalize
pintxoC,pinch
pinus,pine (tree)
pinut,peanut
pip,individual
pipar,peep
pipin,pee
piq,request
piqdjiz,lull
pirad,period
piratz,gush
piroz,pack
pirs,role/as
pirsum,publication
pirten,pertain
pisek,interval
pisin,piss
pit,pure
pitlet,capitulate
pitman,nipple
pitmaz,epitomize
pitput,chatter
pitul,twist
pitzan,injury
pitzul,fragment
pitzutz,explosion
pizen,rash
pizin,pie
pizmon,chorus
pladum,ply
plak,pluck
plalat,plow
plamant,implement
plamet,plummet
plamp,plump
plandjog,plunge
plandor,plunder
planim,cheap
plant,plant
plap,glottal stop
plasint,placenta
plastik,plastic
plastur,plaster
platab,palatable
platfon,platform
platik,plight
platon,plateau
pleket,placate
plelut,lute
plen,plane (geometry)
plenix,replenish
plet,plate
pliket,implicate
pliqal,plea
plodrat,ploy
plugnat,plug
plumaj,fluff
plup,poop
plutas,pluto
pod,free
podal,ramp
podjup,rundown
podjut,shabby
poket,poke
poklaq,pretty
polar,polar
polem,poem
polip,poll
polis,police
pom,different
ponent,component
ponts,pounce
pop,property (of object)
por,poor
poraq,pore
porit,pour
pork,per
porkat,pork
porklet,percolate
porlaps,perhaps
pornag,porn
porpan,porcupine
porsad,persuade
porsin,suidae
porskut,persecute
portal,portal
portfol,portfolio
portub,perturbation
portun,opportune
portxik,perch
porvort,pervert
post,post (content)
postpon,postpone
postud,post (in the ground)
pot,honorific (address)
potant,impotent
potreq,portray
potx,pi
potxiv,poach
poxam,potion
pozar,pose
prab,probable
prabol,parabola
pradaq,prod
pradiqk,undo
pradok,product
prajak,project (task)
prakan,procyonidae
prakrit,original nature
praktal,practical
praktis,practice
pralaq,parallel
pramet,primate
pramis,promise
pramot,promote
pramp,prompt (message)
pranin,sentient
prants,prance
prapoj,propulsion
prapon,prop (setting)
prapor,proper
prapoz,propose
praskut,prosecute
prastut,prostitute
prasvin,sweat
prat,apart
pratxir,enclosure
pravab,proverb
prejdis,prejudice
prent,apparent
prentas,apprentice
pres,pressure
pretand,pretend
prex,precious
prezant,present (show)
prezdant,president
pridik,predict
prikaC,prick
prikat,predicate
priklud,preclude
prikux,percussion
prilam,beloved
prilat,busy
primand,reprimand
primpik,primp
prinak,grant
priniq,preen
prinpal,principle
print,print
prinur,entrepreneur
pripar,prepare
prisas,precise
priskrab,prescribe
pristin,pristine
pritants,pretense
pritum,broad
prival,prevail
privant,block/prevent
privul,preview
prixet,appreciate
prixut,asceticism
prizad,preside
prizon,imprison
prizum,presume
prizurv,preserve
prodjuk,projection
produs,produce
profanz,preference
profret,proliferate
program,program
prohib,prohibit
proklem,proclaim
prokur,procure
prolaq,prolong
promz,pass
promzur,pass out
propgand,propaganda
proptik,property (object)
protak,protect
protom,proto
provas,profess
provax,profession
proviz,provision
prudant,prudent
prufrid,proofread
prukrik,pick up
pruksur,pick out
pruman,pomegranate
prunif,prune
pufan,poof
pul,pull
